"","delay0","delay1","delay2","delay3","delay4","delay5","delay6","delay7","delay8","delay9","delay10","delay11","delay12","delay13","delay14","delay15"
"2011-05-07",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"2011-05-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-05-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-05-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-05-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-05-12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"2011-05-13",0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,6
"2011-05-14",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"2011-05-15",0,0,0,0,0,0,0,0,0,1,3,7,8,8,8,9
"2011-05-16",0,0,0,0,0,0,0,0,0,2,5,7,7,7,8,12
"2011-05-17",0,0,0,0,0,0,0,5,7,13,16,16,17,17,17,17
"2011-05-18",0,0,0,0,0,0,2,3,12,14,14,14,16,16,16,19
"2011-05-19",0,0,0,0,1,6,11,20,23,23,23,23,24,25,25,29
"2011-05-20",0,0,0,0,4,9,13,19,19,21,26,27,29,29,31,35
"2011-05-21",0,0,0,3,9,26,41,41,41,48,52,53,53,54,56,66
"2011-05-22",0,0,2,3,14,22,22,24,28,36,38,38,41,41,41,42
"2011-05-23",0,0,1,10,16,16,19,22,24,25,25,30,32,32,35,44
"2011-05-24",0,1,9,18,18,19,28,30,34,34,39,40,40,40,42,51
"2011-05-25",1,1,11,11,12,17,24,28,28,32,34,35,39,41,42,49
"2011-05-26",0,6,6,7,13,19,22,22,25,27,27,28,28,29,31,34
"2011-05-27",0,0,0,8,14,15,15,18,24,24,25,26,28,30,31,34
"2011-05-28",0,0,2,4,8,8,12,14,14,14,17,17,20,20,20,22
"2011-05-29",0,3,7,9,9,12,12,12,13,15,16,17,17,17,17,19
"2011-05-30",1,3,5,5,11,12,12,13,18,21,22,22,23,23,23,26
"2011-05-31",0,2,2,4,7,7,7,12,15,15,15,15,15,16,16,17
"2011-06-01",0,0,2,5,5,5,6,8,12,15,16,16,16,16,16,16
"2011-06-02",0,0,0,0,1,4,5,6,6,6,6,6,6,6,6,6
"2011-06-03",1,1,1,5,7,8,10,10,10,10,10,10,10,11,11,11
"2011-06-04",0,0,1,2,2,4,4,4,4,4,4,4,4,4,4,4
"2011-06-05",0,0,1,2,3,4,4,4,4,5,5,5,5,5,5,6
"2011-06-06",0,1,3,3,6,6,6,6,7,8,8,8,8,8,8,9
"2011-06-07",1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4
"2011-06-08",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2011-06-09",0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
"2011-06-10",0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
"2011-06-11",0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
"2011-06-12",0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
"2011-06-13",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"2011-06-14",0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
"2011-06-15",0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
"2011-06-16",0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3
"2011-06-17",0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4
"2011-06-18",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2011-06-19",0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"2011-06-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-06-21",0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3
"2011-06-22",0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3
"2011-06-23",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2011-06-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-06-25",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"2011-06-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-06-27",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"2011-06-28",0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3
"2011-06-29",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2011-06-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-07-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-07-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-07-03",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2011-07-04",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
